old                                      new
003f1da533fe74b9523e0db13b7b3615e334956e 6a244269da9ba68410a55df5ed21388bf500d954
005a9961fa7a035c5eb9cdf5e2117f0dbea8cf45 68af07d4416fb5ee8f3dd7b55d36afdf07f1dfa1
00b4a9f9aaa793fc491213ae0128ffa22b329ff6 6ccdfc8433dfc7d3d55acd10d289db565902f842
00b763c9f70331019507008f7d88b6d7ec2baf9e 72e12a329a5410c4f706aaae1150128bb9321930
0128ec39d7d13b616cebaa60644da2187c2698a2 f6fa1430fb80375fb2a86b5739360ab45271a1d8
019b741ddd33d0fc372d7c7446a8461ab42b3468 ef2b384e957820e8a98ca524fa969f1d434a1eaf
01fb89ee004f5d1a5670ae614471841f5e12ea6b 4f371acada1f61bcd4bda914fe44a1919ac3b62b
020fb6291ecad27fe2a3394f449ca81ade90f244 c0509f91c88ee7daecfc18dbdc11a667cffaa6c1
023de815f8a6f86dce27e8858e6d6dd470d8c0bf 1031c11433b61f2adf43fb4e7c0461cdc35df1e8
027aaa2354a6da68bd437a3ab0d5d351bfd6f24e 5af0bb1c6f6d675cb916a1a47a445e4e29fc2064
034f929d281d0358f6da91ae7024f3a17331d53f 906819cfdd0ef951e3bc3127dc34d4c8db6acebe
03b833b9ba19c4d3578fde96bf460f5e3a6dffe1 112ef554833222df0d647efd6de89558bfc7a62d
0418df45a330ccc2bba82445cb0cf3a9a420b1e6 7da3953a17181043ccc6edbb1fe23fa7a85c8987
047177b0d2e9a9b3c657b1622773b98164742472 eacbb4ef30a0aee4997429493d393b578aa3b165
04f3b97580f8e61fac8eeb2caa62c80ff26301e4 4dec54f8fa8cb425e0b5e37a67d80721fa978a39
05265848287e73008b04e4462b83303002958433 64ce9aad5c661af33710951a137abe338438c94b
0570e013c0595b1e10ecdf1ff5b71aa4c60858be a9ffae25501633c9155ecc891a339c2da4adae60
05dfa53306d2ed8707349e2a1a6f16c315085b06 b98a69016f49a7ac92a2c0c4265f4cf7eaa1a44d
0690bf5f1f52afb9bc0ab8097c9bcc849ee9f1de 53c195617df7af73a0e1388437ad8a6a1d019bdc
06a73db628e54887b9e4e4dc9ec4c3da46159379 fe75a753d446e26ef5f1e47e027bbfc332214205
06c54c2bcf0e141307741e506809b2e13457645d 4a8991e74f4cb1bf200c3ae2d73d077707e947ba
06d5b81fb99a4e47afea88f9804706676f0b96f2 2daa2514a8f7c07801a810b3649723e8588d0ae5
072f0634aa1c45e6d11d2872b188476139a8499d d4079cf09a0448d4acd80c65a1f9ea87fabb82c2
0794c3913d30bbacf01c076beb47b4a8d61b203a 90b3dbf5439dbf51261b8e87c32d6382a37fc249
07aa3c797f5b32a731b91b2b41bc4a7d3ebdf39f 7d41a9139bec6565928889514a60873494aff807
08293b53df0311c0f5988c6135f7b2ca6ce18aae 3cb977ea45129b88c392a345eb9bba18c4da3573
0831c7f3dffdc39ab16cbd6d7219f3fc8b05e542 24501c1f6ca7a80118d61f488c4e46ecb5428432
08b2a8a7ab4d13bb10fa8a644eb5c3a1c2154b6e d40ae2c3e7239d2cecebd33eb13a5e998dd25b16
08c29a05f4ea315a561dcfc0cb18cecb1c6e7e9d ed55374a667f25d3fa3ee53e9d01b72e38e452f9
08de78cbcf922ff4b5038954d88a72b4d5c969d6 ca124bdc650d4545679623192a436306451496f8
08fda5f1f5e68803bf42ffbf00969dfeca54cf45 1c48a3095804d1f1486cdff313b08a69f40a5296
0937caadd80070fbb63b085c97fdfd74635845ba ea9db6fc34d735ccd05eb372c1dc9a4f1219bc2e
094315492ca3a22a4b453a7c40723ea849b6910a 31d0babc6e0500cf8c2d1940be3d7da167c20eee
0a298d8f4bc5a877fe8af39ac8b132583bc33b60 9b1ca84a00566124967308413b0852d179ecd588
0a4b126cad2a317421074cf35453ff4af630d52b ca28b15b35fd2fd73efdda62a20bb3b68273ee04
0a5fc2f935e077d393624083f36f270c493cf090 0f6232acd003d1f6fbeec926f76a877cdde4b801
0a6c026d9704dbc4ebd49ef0b1f85c120ba03326 582a006c5868e6cc1e1faa0c37178048c479855d
0a9522fa87bb549d50d80bb584da28cd1d6a29e0 639a07707665bc4ae1759edcbdeb5533257c223d
0b45f79d3337ddbb88d3073d149fe1fcb37013ab 5111fab96125ca444900da8f381837082301a0ec
0b4a62a66f242bc4caf51a1b14e08249074681e3 195896c558b18e4dc3dff325bf3bed69b97b66bc
0b62c01856cdb0b0a0d3991e34ca29a3521cff54 5f8325f7aec39afd44a795b4c4a7ef2403ff18cb
0b6f32d3baf44f0f617d7894b3fdc30b84bd36a3 0b6f32d3baf44f0f617d7894b3fdc30b84bd36a3
0bb9416479f156965e38ae8d5c6fdd8b47b8d2c1 bd96d78f00f6f1def83be8c8d7670ecaa33df7f0
0c5959fa2db5eb8da2016c33e11feb805672050d 5028793c55705d38098b8d3d1445756d3a907433
0c7a3baf9bf7a94d16edb1b4a985e61ffbe028a8 dfa644e9d5a39a36b99e08f136655fc10e82cf70
0cbe00d2cbc64726f724799cf770d528baa5af0c b202200edcda5bf452f91d2a09e8c408f066f477
0cdf12e7a75ee3d6a33a2f2bfdcfc127f5d9f4d4 0cdf12e7a75ee3d6a33a2f2bfdcfc127f5d9f4d4
0d7b88963d95e6aa3ae10a8496bb940d196bebda 7362f291e61797cc03f4f56161d08d4bc63a75ba
0d9e7fcb133d30c5516e09c874b95b4b2a77fe36 24e4cbaf2fba09cda0ce40594b6ba95e90244e84
0de606e750a8db45782f2dd7ced8063618fe9aae dfcc525d19e5c91cbf696f58a5a06763e68d9448
0e27e7eb9da7127ed0e55eb7d2049c41cbe9dafb e5b7e7ac39950d34d1e6d65af483daebebf670b9
0e4fd49e39df73ed2090bd083a894a24cab49478 9239e1433731a41ec1675d862cd9c60359b71891
0ebd1576fc5a6e651e548eea81637b8744500739 51c7d0ec9a4edfa0a1d1bc033ffddc9382232912
0edb18e2c5fa58538d0b06b60eca1a45074028f6 4de14db848fc08e7a26a7bb2ab1d7a2ee9bb641d
0ee072adc0fb947a3f0b61a3519cf4b7f800144c 132881a4a51709633de2227c8c4c2c580363132f
0ee660032daa2a721a437e9385b2bcd8c8c73f60 a90da88cba2827f2ae6f616cdfaa5512a36e8f29
0f5761ac5eab8ba2a350555d3bf115b61577679f c5abb7f6c0866dfeba7431ee3a98000f2f8502ef
0f6018b01f77bd7e9e72740c03827301e183be46 ef98511ec993c2bb38796e8685e45f5a127412d8
0f8b8f4d4b3258956b32c2708239b7297f51ab4d fa7f52ae7c265cae125f0be266ce2e5e062e9031
0fb26849003941a6db984489e361f3d6ad4cfcde 160d83538fca45b88e55da11feb561317314f2f8
0fe18f74359b7308e9b444f6c43c3985044ceb57 bf04682c718586e5665ac9c42d3fd017b53ee766
110bec533c09fcdf359493564f3ae33e962651f1 c913d031e6bd650d99aadfd85c3e6595f240f787
118ef879234fa26cd1401eeb4466148b0e47543d 5cd64a67b81d45555cee194e5562cd32833c0126
11de4b155e94b161686b7f81ba601f3556d25017 e1cad226f4bede93dc01f952fb162dd1ce4ec9dc
11f5c061e589c6697271bf4db38192d53ea93b73 4362b096cd565639f995b3e1f8523705d85b895c
127d28c507204afa1610c0f509699843b02c3b74 d16fab6173e2a292f6d4cfbe08ac4aa93714797a
130ae950d215cab355568aefc36f3e5765dc1d2c 84fb8747985617838f2abd53007a1666052c8eae
